Name,Monthly plan,Anually plan,Genre,Quality,Divices,Download,Regional Availability
Premium,$22.00 ,$220.00 ,Action,"4K UHD, Full HD, HD",4 devices,Yes,Canada
Standard,$14.99 ,$149.90 ,Adventure,"4K UHD, Full HD, HD",4 devices,No,Canada
Basic,$9.99 ,$99.90 ,Animation,HD,1 devices,No,Canada
,,,Anime,,,,
,,,Biography,,,,
,,,Canada,,,,
,,,Celebrity,,,,
,,,Comedy,,,,
,,,Crime,,,,
,,,Documentary,,,,
,,,Drama,,,,
,,,Educational,,,,
,,,Family,,,,
,,,Fantasy,,,,
,,,Fashion,,,,
,,,Film-Noir,,,,
,,,History,,,,
,,,Holiday,,,,
,,,Horror,,,,
,,,Kids,,,,
,,,LGBTQ2+,,,,
,,,Made in Quebec,,,,
,,,Music,,,,
,,,Mystery,,,,
,,,Nature,,,,
,,,Politics,,,,
,,,Pop,,,,
,,,Pre-School,,,,
,,,Rock,,,,
,,,Rom-Com,,,,
,,,Romance,,,,
,,,Sci-Fi,,,,
,,,Science & Technology,,,,
,,,Sports,,,,
,,,Stand Up,,,,
,,,Teen,,,,
,,,Thriller,,,,
,,,True Crime,,,,
,,,War,,,,
,,,Western,,,,
