Name,Monthly Plans,Genre,Quality,Devices,Download,Regional Availability
Basic (with ads),$6.99 ,Popular,"Full HD, HD",1 device,No,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
Standard,$10.99 ,Action & Adventure,"Full HD, HD",2 devices,Yes,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
Premium,$13.99 ,Kids & Family,"4K UHD, Full HD, HD",4 devices,Yes,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
,,Sci-Fi & Fantasy,,,,
,,Comedy,,,,
,,Documentary,,,,
,,Drama,,,,
,,Horror,,,,
,,Thriller,,,,
,,Music & Specials,,,,
,,Indigenous Stories,,,,
,,All Movies,,,,
