Monthly Plan,Annual Plan,Genre,Quality,Devices,Download,Regional Availibility
$8.25 ,$99 ,Action and adventure,"4K UHD, Full HD, HD",3 Devices,yes,"United States, United Kingdom, Germany, Austria, Japan, Belgium, Brazil, Canada, France, India, Ireland, Italy, Poland, Turkey, Spain, Mexico, Argentina, Chile, Colombia, Costa Rica, New Zealand, South Africa,Finland, Denmark, Norway, Iceland, Australia, Netherlands, Saudi Arabia, Luxembourg, Portugal, Indonesia, Philippines, Thailand, Nigeria, South Africa, Latvia, Switzerland, Egypt, Guernsey, Cameroon, Nicaragua, Slovenia, Canada"
,,Anime,,,,
,,Comedy,,,,
,,Documentary,,,,
,,Drama,,,,
,,Fantasy,,,,
,,Horror,,,,
,,Kids,,,,
,,Mystery and thrillers,,,,
,,Romance,,,,
,,Science fiction,,,,
